Date,Symbol,Company Name,DealId,Employees,Total Offering Expense,Shareholder Shares Offered,Shares Outstanding,Lockup Period (days),Quiet Period (days),CIK,Exchange,Exchange Group,Price,Shares,filing,price offer,close price
6/18/10,CIL,"China Intelligent Lighting & Electronics, Inc.",767730-63377,654,"$909,616.00 ",--,"13,243,704",180,40,1421525,American Stock Exchange,NYSE,3,"3,350,000",S1,3,2.95
9/16/24,IBO,IMPACT BIOMEDICAL INC.,1146154-107975,5,"$252,000.00 ",--,"11,497,703",180,42,1834105,NYSE MKT,NYSE,3,"1,500,000",S1,3,2.68
11/27/06,RNIN,"CREATIVE REALITIES, INC.",702329-51336,29,"$579,500.00 ",--,"7,310,739",180,25,1356093,NASDAQ National Market,NASDAQ,4,"4,500,000",0,4,4.58
5/14/10,KONE,Luokung Technology Corp.,825909-63879,112,"$585,326.00 ",--,"14,000,000",180,25,1487839,NASDAQ SmallCap Market,NASDAQ,4,"4,000,000",F1,4,3.94
11/19/10,LZEN,Lizhan Environmental Corp,835324-64993,376,"$1,742,107.80 ",--,"13,643,750",180,40,1489784,NASDAQ National Market,NASDAQ,4,"2,500,000",F1,4,4.01
2/16/18,FAMI,"Farmmi, Inc.",1037542-85343,111,"$809,128.00 ",--,"11,680,000",180,40,1701261,NASDAQ Capital,NASDAQ,4,"1,680,000",F1,4,6.18
3/20/18,DNJR,"Bit Digital, Inc",1040761-85679,110,"$1,127,356.00 ",--,"14,550,000",180,41,1710350,NASDAQ Capital,NASDAQ,4,"1,550,000",F1,4,4.62
1/8/19,MTC,"MMTec, Inc.",1067524-88186,37,"$799,969.27 ",--,"19,800,000",180,41,1742518,NASDAQ Capital,NASDAQ,4,"1,800,000",F1,4,7.55
7/26/19,BHAT,Blue Hat Interactive Entertainment Technology,1079100-89086,107,"$614,255.00 ",--,"35,000,000",180,40,1759136,NASDAQ Capital,NASDAQ,4,"2,000,000",F1,4,4.58
2/24/20,ZCMD,Zhongchao Inc.,1101930-91133,90,"$1,013,904.00 ",--,"19,102,420",180,42,1785566,NASDAQ Capital,NASDAQ,4,"3,000,000",F1,4,4
4/4/11,TZYM,"Ocera Therapeutics, Inc.",612511-65728,40,"$2,000,000.00 ",--,"23,708,845",180,42,1274644,NASDAQ National Market,NASDAQ,4,"13,500,000",S1,4,4
8/22/13,RGDO,"Tobira Therapeutics, Inc.",657932-72374,31,"$2,250,000.00 ",--,"20,381,521",180,40,1311596,NASDAQ SmallCap Market,NASDAQ,4,"10,750,000",S1,4,4.7
11/23/10,ZGNX,"ZOGENIX, INC.",720558-65088,145,"$2,770,000.00 ",--,"33,563,802",180,41,1375151,NASDAQ National Market,NASDAQ,4,"14,000,000",S1,4,3.98
5/18/16,PZRX,"PHASERX, INC.",772860-80734,19,"$1,218,100.00 ",--,"11,583,234",180,40,1429386,NASDAQ SmallCap Market,NASDAQ,5,"3,700,000",S1,4,4.17
4/25/12,CLIR,ClearSign Technologies Corp,777788-68613,9,"$1,485,386.00 ",0,"8,157,716",180,40,1434524,NASDAQ SmallCap Market,NASDAQ,4,"3,000,000",S1,4,4.2
8/13/10,ELMD,"Electromed, Inc.",827620-64045,70,"$693,000.00 ",--,"7,887,885",180,40,1488917,NASDAQ SmallCap Market,NASDAQ,4,"1,700,000",S1,4,3.98
10/4/12,RGLS,Regulus Therapeutics Inc.,841390-70574,56,"$2,600,000.00 ",--,"34,130,393",180,40,1505512,NASDAQ National Market,NASDAQ,4,"11,250,000",S1,4,4.2
5/23/14,SDPI,"Superior Drilling Products, Inc.",931596-75087,56,"$651,993.00 ",--,"16,279,146",180,40,1600422,American Stock Exchange,NYSE,4,"6,750,000",S1,4,4.49
4/5/19,GHSI,"Guardion Health Sciences, Inc.",965807-88246,20,"$482,837.00 ",--,"21,923,369",180,40,1642375,NASDAQ Capital,NASDAQ,4,"1,250,000",S1,4,3.68
11/13/19,YAYO,"EVmo, Inc.",1009638-86710,21,"$172,104.00 ",--,"29,427,976",180,40,1691077,NASDAQ Capital,NASDAQ,4,"2,625,000",S1,4,3.55
3/16/18,AIHS,Senmiao Technology Ltd,1036260-85132,32,"$1,332,080.00 ",--,"25,500,000",180,40,1711012,NASDAQ Capital,NASDAQ,4,"3,000,000",S1,4,5.56
11/8/19,CNSP,"CNS Pharmaceuticals, Inc.",1048115-90031,3,"$442,546.58 ",--,"15,712,004",180,40,1729427,NASDAQ Capital,NASDAQ,4,"2,125,000",S1,4,4.57
4/26/00,SERV,STRATUS SERVICES GROUP INC,65537-2796,1215,"$674,859.00 ",--,"5,765,803",180,26,1044391,NASDAQ SmallCap Market,NASDAQ,6,"1,300,000",0,4,3.11
1/26/24,HAO,Haoxi Health Technology Ltd,1269043-107548,32,"$1,178,076.00 ",--,"14,610,000",180,40,1954594,NASDAQ Capital,NASDAQ,4,"2,400,000",F1,4,5.28
1/25/24,YIBO,Planet Image International Ltd,1206673-102441,1246,"$2,788,158.00 ",--,"27,565,800",180,40,1868395,NASDAQ Capital,NASDAQ,4,"1,250,000",F1,4,2.79
1/24/24,SUGP,SU Group Holdings Ltd,1277648-108381,405,"$1,682,416.00 ",--,"13,250,000",180,40,1969863,NASDAQ Capital,NASDAQ,4,"1,250,000",F1,4,4
1/18/24,CCTG,CCSC Technology International Holdings Ltd,1252089-105961,268,"$1,986,095.00 ",--,"11,375,000",180,40,1931717,NASDAQ Capital,NASDAQ,4,"1,375,000",F1,4,7.7
1/12/24,SYNX,Silynxcom Ltd.,1274897-108066,33,"$1,026,553.49 ",--,"5,250,000",180,40,1976443,NYSE MKT,NYSE,4,"1,250,000",F1,4,3.61
1/9/24,ROMA,Roma Green Finance Ltd,1260653-106789,16,"$619,236.00 ","625,517","10,425,290",180,41,1945240,NASDAQ Capital,NASDAQ,4,"3,075,460",F1,4,2.9
3/21/24,LOBO,LOBO EV TECHNOLOGIES LTD,1251098-105882,76,"$882,860.00 ",--,"7,780,000",180,40,1932072,NASDAQ Capital,NASDAQ,4,"1,380,000",F1,4,3.47
3/20/24,INTJ,Intelligent Group Ltd,1258887-106624,12,"$676,125.00 ",--,"13,125,000",180,40,1916416,NASDAQ Capital,NASDAQ,4,"1,875,000",F1,4,3.3
3/6/24,RYDE,Ryde Group Ltd,1269511-107581,34,"$1,839,685.00 ",--,"15,571,043",180,40,1971115,NYSE MKT,NYSE,4,"3,000,000",F1,4,4
3/5/24,LGCL,Lucas GC Ltd,1249679-105764,245,"$2,195,126.00 ",--,"79,563,300",180,41,1954694,NASDAQ Capital,NASDAQ,4,"1,500,000",F1,4,3.61
4/23/24,NCI,Neo-Concept International Group Holdings Ltd,1275529-108099,24,"$1,256,474.00 ",--,"20,320,000",180,41,1916331,NASDAQ Capital,NASDAQ,4,"2,320,000",F1,4,9.5
4/22/24,YYGH,YY Group Holding Ltd.,1276486-108257,771,"$2,161,101.00 ",--,"34,425,000",180,42,1985337,NASDAQ Capital,NASDAQ,4,"1,125,000",F1,4,2.9
4/19/24,TRSG,Tungray Technologies Inc,1250767-105852,170,"$2,355,839.00 ",--,"11,690,000",180,40,1943444,NASDAQ Capital,NASDAQ,4,"1,250,000",F1,4,5.95
4/18/24,MTEN,Mingteng International Corp Inc.,1252849-106029,101,"$2,695,000.00 ",--,"6,050,000",180,40,1948099,NASDAQ Capital,NASDAQ,4,"1,050,000",F1,4,3.5
4/18/24,CDTG,CDT Environmental Technology Investment Holdings Ltd,1141903-95484,114,"$638,768.00 ",--,"10,700,000",180,40,1793895,NASDAQ Capital,NASDAQ,4,"1,500,000",F1,4,3.3
4/17/24,JUNE,SUPER X AI TECHNOLOGY LIMITED,1223576-103577,18,"$1,246,366.00 ",--,"12,714,286",180,40,1897087,NASDAQ Capital,NASDAQ,4,"2,000,000",F1,4,4.06
4/16/24,TWG,Top Wealth Group Holding Ltd,1277513-108368,12,"$1,301,930.00 ",--,"29,000,000",180,41,1978057,NASDAQ Capital,NASDAQ,4,"2,000,000",F1,4,1.94
4/10/24,MNDR,Mobile-health Network Solutions,1287451-109208,73,"$1,284,682.00 ",--,"21,921,750",180,40,1976695,NASDAQ Capital,NASDAQ,4,"2,250,000",F1,4,6.7
4/2/24,ZBAO,Zhibao Technology Inc.,1270215-107657,178,"$1,286,904.00 ",--,"14,683,308",180,41,1966750,NASDAQ Capital,NASDAQ,4,"1,500,000",F1,4,3.7
5/15/24,RAY,Raytech Holding Ltd,1274929-108067,6,"$676,169.00 ",--,"17,500,000",180,40,1948443,NASDAQ Capital,NASDAQ,4,"1,500,000",F1,4,4.23
